DateTime,Event
2019-03-15 16:30:44,Heavy Traffic on AYE (towards Tuas) after Normanton Exit
2019-03-15 16:24:13,Obstacle on TPE (towards PIE) after Punggol Rd Exit. Avoid lane 3
2019-03-15 16:19:21,Accident on AYE (towards Tuas) at PIE Exit
2019-03-15 16:14:30,Accident on AYE (towards Tuas) after Normanton Exit with congestion till Alexandra Rd Entrance. Avoid lane 1
2019-03-15 16:14:30,Obstacle on CTE (towards SLE) at Yio Chu Kang Rd Exit
2019-03-15 16:07:02,Accident on AYE (towards Tuas) after Normanton Exit. Avoid lane 1
2019-03-15 15:48:49,Accident on AYE (towards Tuas) after Penjuru Rd Exit
2019-03-15 15:33:13,Accident on River Valley Road near Clemenceau Avenue/River Valley Road Junction
2019-03-15 15:23:34,Obstacle on SLE (towards CTE) after Lentor Ave Exit. Avoid lane 4
2019-03-15 15:19:46,Accident on AYE (towards MCE) after Clementi Ave 2 Exit
2019-03-15 15:16:04,Obstacle on AYE (towards MCE) after Jurong Town Hall Exit. Avoid lanes 1 and 2
2019-03-15 15:05:16,Obstacle on PIE (towards Changi Airport) before Pioneer Rd Nth. Avoid lane 1
2019-03-15 14:51:59,Accident in CTE Tunnel (towards SLE) after AYE Entrance
2019-03-15 14:49:17,Accident in CTE Tunnel (towards SLE) after AYE Entrance. Avoid lane 2
2019-03-15 14:28:55,Accident on CTE (towards AYE) before Braddell Rd/Lor Chuan Exit
2019-03-15 13:25:26,Heavy Traffic on AYE (towards MCE) before Buona Vista Exit
2019-03-15 12:41:54,Accident on KJE (towards PIE) after Sungei Tengah Exit. Avoid lane 4
2019-03-15 12:32:18,Accident on KJE (towards PIE) after Sungei Tengah Exit with congestion till Choa Chu Kang Dr Exit. Avoid lane 4
2019-03-15 12:29:37,Accident on AYE (towards MCE) before Buona Vista Exit with congestion till Clementi Ave 6 Exit. Avoid lanes 1 and 2
2019-03-15 12:03:35,Accident on AYE (towards MCE) before Buona Vista Exit with congestion till Clementi Ave 2 Exit. Avoid lanes 1 and 2
2019-03-15 11:58:16,Accident on AYE (towards MCE) before Buona Vista Exit with congestion till Clementi Ave 2 Exit. Avoid lane 1
2019-03-15 11:55:03,Accident on AYE (towards MCE) after Alexandra Rd Exit. Avoid lane 1
2019-03-15 11:52:57,Accident on AYE (towards MCE) before Buona Vista Exit. Avoid lane 1
2019-03-15 11:37:30,Obstacle in CTE Tunnel (towards AYE) before Outram Rd Exit
2019-03-15 10:36:14,Accident on SLE (towards BKE) at Woodlands Ave 2 Exit
2019-03-15 09:39:00,"Accident on KJE (towards PIE) after Sungei Tengah Exit with congestion till Choa Chu Kang Dr Exit. Avoid lanes 1, 2 and 3"
2019-03-15 09:35:11,"Accident on KJE (towards PIE) after Sungei Tengah Exit. Avoid lanes 1, 2 and 3"
2019-03-15 09:32:34,Accident on BKE (towards PIE) at PIE(Tuas) Exit
2019-03-15 09:28:47,Accident on KJE (towards PIE) before PIE(Tuas) Exit
2019-03-15 09:24:30,Accident on KJE (towards PIE) before PIE(Tuas) Exit with congestion till PIE(Changi) Exit
2019-03-15 09:22:20,Accident on AYE (towards MCE) after Jurong Town Hall Exit. Avoid lane 1
2019-03-15 09:18:35,Accident on Dunearn Road (towards City) at Dunearn Underpass with congestion till Eng Neo Avenue
2019-03-15 09:17:00,Accident on Farrer Road (towards Queensway) after Farrer Flyover with congestion till PIE. Avoid left lane
2019-03-15 09:13:47,Accident on Farrer Road (towards Queensway) after Farrer Flyover. Avoid left lane
2019-03-15 09:13:16,Accident on BKE (towards PIE) before PIE Exit
2019-03-15 09:08:27,Accident on PIE (towards Changi Airport) after Eng Neo Ave
2019-03-15 08:59:23,Accident on Dunearn Road (towards City) at Dunearn Underpass with congestion till Hillcrest Road
2019-03-15 08:56:16,Accident on Dunearn Road (towards City) at Dunearn Underpass
2019-03-15 08:33:11,Accident on KJE (towards PIE) before PIE(Tuas) Exit with congestion till PIE(Changi) Exit. Avoid lane 3
2019-03-15 08:31:05,Accident on KJE (towards PIE) before PIE(Tuas) Exit. Avoid lane 3
2019-03-15 08:03:47,Accident on PIE (towards Tuas) before Clementi Ave 6 Exit
